class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class, class,
3.820307,3.028762,2.828255,4.259698,3.496378,3.258024,3.604885,3.636265,3.593924,3.679492,3.308598,2.843513,3.978636,4.039584,4.363878,3.449244,3.221290,3.756109,3.318396,3.280624,1.946924,2.839039,2.486873,2.848218,1.513335,2.759435,2.677094,1.812393,3.341355,3.310260,2.852745,2.415003,2.829975,3.442136,3.303571,2.850321,2.408412,3.057670,2.842646,3.269051,3.087423,3.081006,2.726352,2.735891,3.294068,3.194998,2.372722,2.574542,2.749672,3.651231,2.390972,3.006764,3.115298,2.604524,3.265164,3.048234,2.429404,3.055752,3.938193,3.335619,3.695981,3.440383,3.404901,3.303311,2.931361,3.037404,3.651467,3.078820,
3.564844,3.273346,3.075998,4.171486,3.648920,3.229162,3.290695,3.609000,3.848114,4.033549,3.785622,2.888912,4.158779,3.749953,4.061514,3.538021,3.652921,3.675519,2.857859,3.273833,1.954223,2.404072,2.639761,2.414688,1.951170,2.825103,1.896976,2.317536,3.099501,2.860583,3.269386,2.905459,3.295978,3.301735,2.769881,2.794712,3.574348,3.284086,3.167075,3.598016,2.857882,2.840573,2.809855,2.919557,2.857386,3.156038,2.597750,2.329550,2.690675,3.336638,2.690566,2.643906,3.335872,2.788735,3.310223,3.248089,2.894869,3.015859,3.847034,3.340772,3.336398,2.908382,2.976530,3.422161,3.406080,3.221386,3.532661,3.106654,
3.820916,3.306648,3.242607,5.059538,3.630425,3.555859,4.131452,3.999915,3.926445,3.893455,3.161886,3.097705,4.284806,4.188029,4.505225,3.514100,3.801305,3.615188,3.293922,2.438859,2.348862,2.848909,2.975303,2.862275,1.946333,2.623488,2.347565,2.576975,3.248303,3.298294,3.669785,2.727665,3.468019,3.397560,3.304805,3.212314,3.229673,3.569332,3.285639,3.609103,3.228363,3.092576,2.865522,3.205096,3.295343,3.438342,2.917238,2.852536,2.595992,3.853664,3.070459,3.362638,3.485729,3.089259,3.440808,3.540650,3.117256,3.412209,3.978578,3.705616,3.357245,3.627541,3.692583,3.957626,3.310275,3.612285,3.925693,3.258011,
3.791644,3.390048,3.666408,5.085233,4.097885,3.449179,3.880631,3.906887,4.155115,4.026604,3.158682,3.145841,4.041804,4.113062,4.325993,3.795399,4.094384,3.971738,2.942561,2.861031,2.842304,2.847384,3.289086,2.416529,3.283164,2.736036,2.676030,1.955864,2.852176,2.679025,3.425542,2.781358,3.479568,3.119578,3.329707,3.180802,3.023600,3.939404,3.441502,3.681692,3.189514,3.308132,3.182013,3.340955,3.244801,3.469144,3.113008,2.894754,2.651970,3.808909,3.117853,3.086854,3.607996,3.237796,3.198625,3.393832,2.891047,3.530735,3.836787,3.553489,3.331707,3.489984,3.522523,3.981623,2.811163,3.993870,4.466377,3.027922,
3.829004,3.462522,3.705583,4.859997,3.942440,3.494250,3.765677,3.956329,4.442296,3.600558,3.331225,3.267959,3.991670,4.016501,4.431656,3.335110,4.065411,3.564338,2.419692,2.414681,2.391789,2.851957,2.682229,3.293974,2.617761,2.855310,2.643893,3.291803,3.353510,2.937393,3.847197,2.948844,3.633425,3.190980,2.658759,3.394594,3.567286,3.753218,3.094921,3.664310,3.301498,2.586054,2.912662,3.318620,2.774405,3.000444,3.053891,2.940554,2.821472,3.715741,3.661216,2.796823,3.108111,3.132787,3.124610,3.354200,3.262000,2.934972,3.591243,3.464579,3.629589,3.648673,3.558410,3.445896,3.105658,3.523982,3.838999,3.723572,
3.590855,3.101492,3.205400,4.511646,3.790835,3.321839,3.590617,3.586648,3.995190,3.430911,3.285228,2.923450,3.982722,3.597511,4.349876,3.426938,3.658857,3.854947,2.859349,2.851449,2.087639,2.409354,2.365437,2.852561,1.945019,2.571315,2.427560,2.405483,3.107516,2.862262,3.200430,2.767956,3.314708,3.367382,2.832934,3.292799,2.978485,3.243408,2.908546,3.388083,3.036498,2.707502,3.011693,2.921053,2.860797,3.022311,2.598958,2.704598,2.842383,3.439469,2.900597,2.843572,3.270370,2.972371,3.063350,3.181828,3.167148,2.968902,3.700523,3.456676,3.601858,3.275800,3.356377,3.341066,3.089391,3.407313,3.622000,3.218532,
4.194329,3.802347,4.054144,4.878838,4.143725,3.706639,3.952029,4.266175,4.565304,3.916185,3.972013,3.420417,4.832682,4.236919,4.628723,4.113427,4.016621,4.538868,2.956826,3.292287,2.178940,3.292237,2.853878,2.856588,1.951274,3.300144,2.401042,2.399853,3.489721,3.098367,4.328746,3.323713,3.582916,3.873453,2.763672,3.225442,3.892826,3.939903,3.584614,3.924332,3.187984,2.852208,3.426103,3.209839,2.876716,4.038325,3.513169,2.741765,3.120501,3.677008,3.341984,3.603941,3.808346,3.163541,3.555122,3.801117,3.184216,3.407294,4.284995,3.720133,3.977973,3.718531,3.623754,3.746190,3.449246,3.786264,4.099537,3.609767,
3.923509,3.298029,3.379283,4.448906,3.902092,3.459956,3.674534,4.008880,3.897290,3.888590,3.626730,3.235939,3.833014,4.163644,4.648404,3.590025,4.147508,3.617325,2.989507,2.849542,2.278359,2.846460,2.841370,3.165595,1.947826,3.299418,2.400641,2.852589,3.359668,2.960936,3.759765,3.068562,3.266668,3.040726,2.700385,2.889265,3.492245,3.436184,3.233387,3.556056,2.938060,1.966867,3.032108,3.022399,2.852268,2.848498,2.935119,2.493208,2.945517,3.739311,3.298960,2.824804,3.252282,3.104434,3.049445,3.150615,3.158665,2.886158,3.590705,2.990372,3.616964,3.062932,3.372642,3.592330,3.490406,3.220713,3.033397,3.243507,
3.836708,3.681834,3.898674,5.179374,4.367023,3.913113,4.213363,4.425502,4.659294,4.087609,4.222262,3.303087,4.464286,4.451252,5.210890,3.830345,4.081639,4.282938,3.329237,3.305878,2.839342,2.779871,3.099918,3.307780,2.851240,3.142492,3.185511,3.197298,3.490458,3.845119,3.808363,3.217482,3.727513,3.596741,3.406423,3.856741,3.721468,3.697857,3.646166,3.944412,3.573221,3.393526,3.339376,3.296479,3.310987,3.324550,3.175170,3.290942,3.305907,4.143288,2.840005,2.938841,3.708153,3.260543,3.636192,3.613586,3.539051,3.416084,4.026004,3.716438,3.868495,3.905775,4.017819,4.156287,3.749191,4.095215,4.284182,4.023350,
3.262441,2.824918,2.749374,4.078217,3.340773,3.141078,3.279105,3.164494,3.431627,3.286292,3.246952,2.663018,3.578149,3.520979,4.015243,3.088384,3.250817,3.271678,2.853478,2.406467,1.501601,2.395066,2.271457,2.407534,2.086787,2.620931,1.939460,2.327466,2.864814,2.799147,3.003698,2.401947,2.937710,2.784316,2.384512,3.066755,2.746424,2.898323,2.955324,3.257114,2.515343,2.668867,2.522787,2.388051,2.834728,2.302672,2.627649,2.742414,2.269397,3.165548,2.651182,2.696101,2.831474,2.764219,2.770154,2.926022,2.709853,2.660804,3.316342,2.765142,2.868100,3.081358,3.052143,3.364145,2.735478,2.914762,3.071430,2.620965,
